Student ID,Course
102,Leadership & Management
102,English Language Studies
103,IT Fundamentals
103,Microsoft certification
103,English Language Studies
106,IT Fundamentals
106,Database Systems
106,Microsoft certification
107,IT Fundamentals
107,Microsoft certification
107,English Language Studies
109,IT Fundamentals
109,Database Systems
109,English Language Studies
110,IT Fundamentals
110,Microsoft certification
111,IT Fundamentals
111,Cisco Networking
111,Database Systems
112,IT Fundamentals
112,Leadership & Management
112,Cisco Networking
